"","playerName","playerLink","playerAge","playerPos","playerVal","fromName","fromLink","fromCountry","rawFee","valU","feeU","val","fee","year","date","posGroup","index","feeShare","dob","exactAge","ageXspend","meanAge","yrSpend"
"1","François","http://www.transfermarkt.co.uk/francois/profil/spieler/91384",21,"Centre Back","£150k","Vitória Setúbal","/vitoria-setubal/transfers/verein/1085/saison_id/2011","Portugal","Free transfer","k","r",0.15,0,2011,2011-07-01,"DEF",1,0,1989-11-30,21.597,0,26.6908240794857,9
"2","Adriano","http://www.transfermarkt.co.uk/adriano/profil/spieler/147841",23,"Centre Forward","£563k","Fluminense","/fluminense/transfers/verein/2462/saison_id/2011","Brazil","£1.58m","k","m",0.563,1.58,2011,2011-07-01,"FWD",1,18.47,1987-09-28,23.773,36.34,26.6908240794857,9
"3","Junmin Hao","http://www.transfermarkt.co.uk/junmin-hao/profil/spieler/63549",24,"Right Wing","£563k","FC Schalke 04","/fc-schalke-04/transfers/verein/33/saison_id/2011","Germany","£825k","k","k",0.563,0.825,2011,2011-07-01,"MID",1,9.64,1987-03-24,24.288,19.8,26.6908240794857,9
"4","Paulão","http://www.transfermarkt.co.uk/paulao/profil/spieler/186580",26,"Centre Forward","-","Boa Esporte","/boa-esporte/transfers/verein/17561/saison_id/2011","Brazil","?","-","?",NA,0,2011,2011-07-01,"FWD",1,0,1985-03-12,26.321,0,26.6908240794857,9
"5","Darío Conca","http://www.transfermarkt.co.uk/dario-conca/profil/spieler/53877",28,"Attacking Midfield","£4.50m","Fluminense","/fluminense/transfers/verein/2462/saison_id/2011","Brazil","£6.15m","m","m",4.5,6.15,2011,2011-07-01,"MID",1,71.89,1983-05-11,28.159,172.2,26.6908240794857,9
"6","Fabiano","http://www.transfermarkt.co.uk/fabiano/profil/spieler/58452",29,"Centre Back","£975k","Lecce","/lecce/transfers/verein/1005/saison_id/2011","Italy","Free transfer","k","r",0.975,0,2011,2011-07-01,"DEF",1,0,1982-01-18,29.468,0,26.6908240794857,9
"7","Marlon Harewood","http://www.transfermarkt.co.uk/marlon-harewood/profil/spieler/10011",31,"Centre Forward","£1.50m","Blackpool","/blackpool/transfers/verein/1181/saison_id/2011","England","Free transfer","m","r",1.5,0,2011,2011-07-01,"FWD",1,0,1979-08-25,31.871,0,26.6908240794857,9
"8","Jaílton Paraíba","http://www.transfermarkt.co.uk/jailton-paraiba/profil/spieler/216827",21,"Left Wing","-","Santa Cruz-RS","/santa-cruz-rs/transfers/verein/28024/saison_id/2011","Brazil","£60k","-","k",NA,0.06,2012,2012-01-01,"MID",1,0.34,1990-10-11,21.238,1.26,27.098313803944,17
"9","Shuo Wen","http://www.transfermarkt.co.uk/shuo-wen/profil/spieler/236527",21,"Right Midfield","-","Mafra","/mafra/transfers/verein/7056/saison_id/2012","Portugal","?","-","?",NA,0,2012,2012-07-01,"MID",2,0,1991-01-05,21.501,0,27.098313803944,17
"10","Rafael Coelho","http://www.transfermarkt.co.uk/rafael-coelho/profil/spieler/54276",23,"Right Wing","£300k","Desp. Brasil","/desp-brasil/transfers/verein/17300/saison_id/2011","Brazil","£1.16m","k","m",0.3,1.16,2012,2012-01-01,"MID",1,6.63,1988-05-20,23.633,26.68,27.098313803944,17
